respondent_id,persona_label,Q1_age,Q2_gender,Q3_state,Q4_location,Q5_income,Q6_edu_level,Q7_stream,Q8_board,Q9_academic_perf,Q10_career_clarity,Q11_challenges,Q12_past_guidance,Q13_guidance_satisfaction,Q14_decision_urgency,Q15_subject_interests,Q16_career_domain,Q17_learning_style,Q18_top_skills,Q19_influencers,Q20_who_pays,Q21_career_factors,Q22_past_spending,Q23_info_sources,Q24_missing_gap,Q25_psych_fear_wrong_choice,Q25_psych_prefer_independent,Q25_psych_financial_over_passion,Q25_psych_risk_tolerance,Q25_psych_long_term_thinking,Q26_feature_prefs,Q27_tradeoff_wtp,Q28_monthly_wtp,Q29_onetime_wtp,Q30_primary_source,Q31_platform_adoption,wtp_monthly_numeric,urgency_score,income_numeric,clarity_score,psycho_composite
R0001,Curious Explorer,18-20,Male,Assam,Tier-3 city,Below Rs2L,Class 12,Commerce without Maths,CBSE,60-70%,Just exploring,Dont know my strengths,Private counsellor (paid),3 - Neutral,1-2 years,Business Finance Economics|Mathematics Statistics,Business Finance Entrepreneurship|Creative Arts Media Design,Watching videos,Leadership teamwork,Myself - independent,I decide - parents pay,High earning potential|Work-life balance,Online courses / certifications,Coaching institutes|Google / web search,Open text response,3,4,3,4,3,Peer community forums|Personalised roadmap|Salary and job demand dashboard,Detailed career report,Up to Rs99/mo,No - would not pay,YouTube,Definitely would NOT use,70,4,100000.0,3,3.4
R0002,Anxious Achiever,Under 15,Male,Punjab,Metro city,Rs5-10L,PG / Other,Science PCB,CBSE,60-70%,Just exploring,Dont know exams needed,School counsellor (free),3 - Neutral,1-2 years,Agriculture Environment|Science Physics Chemistry Biology,Medicine and Healthcare|Social Work Development,Gamified learning,Leadership teamwork|Not sure yet,Teachers / counsellors,I decide and pay myself,Help society|Job security and stability,Nothing - never paid,Parents / family,Open text response,5,4,3,2,4,AI chatbot 24/7|Peer community forums,Detailed career report,Nothing - free only,Yes up to Rs199,YouTube,Definitely would use,0,4,750000.0,3,3.6
R0003,Curious Explorer,18-20,Male,Kerala,Rural / Village,Rs5-10L,Class 11,Vocational / Diploma,Other,70-80%,Mostly clear,Too many options|Unaware of emerging careers,Family/friends only,1 - Very dissatisfied,More than 2 years,Mathematics Statistics|Technology Computers AI,Business Finance Entrepreneurship|Technology and Engineering,Reading articles/books,Creative thinking design|Technical coding skills,Parents / guardians,I decide - parents pay,Location flexibility|Social status / prestige|Work-life balance,Nothing - never paid,Coaching institutes|I dont search - feel lost|Teachers / school,Open text response,3,5,3,4,2,Personalised roadmap|Psychometric tests|Scholarship finder,1-on-1 professional session,Rs100-299/mo,Yes up to Rs499,Family / relatives,Unlikely to use,200,5,750000.0,2,3.4
R0004,Focused Climber,15-17,Male,West Bengal,Metro city,Rs5-10L,Class 12,Science PCB,ICSE / ISC,Above 90%,Completely clear,Dont know exams needed|Unaware of emerging careers,Private counsellor (paid),3 - Neutral,3-6 months,Medicine Healthcare|Science Physics Chemistry Biology,Medicine and Healthcare|Social Work Development,Gamified learning|Peer discussions|Watching videos,Communication public speaking|Mathematical ability,Extended family|No one - still figuring out,I decide and pay myself,Help society|High earning potential,Coaching classes (JEE NEET etc)|Private career counsellor session,Parents / family|Social media,Open text response,2,3,4,4,5,College and exam recommender|Psychometric tests,1-on-1 professional session,Up to Rs99/mo,Yes above Rs999,Family / relatives,Neutral,70,2,750000.0,1,3.6
R0005,Confused Drifter,15-17,Female,Uttar Pradesh,Metro city,Above Rs20L,UG 2nd year+,Science PCB,CBSE,70-80%,Somewhat confused,No access to mentors,Family/friends only,3 - Neutral,Within 3 months,Medicine Healthcare,Education and Research|Medicine and Healthcare,Gamified learning|Peer discussions|Watching videos,Leadership teamwork|Technical coding skills,Parents / guardians,I decide - parents pay,Job security and stability|Social status / prestige,Study materials / books,Career apps / websites|Parents / family,Open text response,4,3,3,3,2,College and exam recommender|Personalised roadmap|Psychometric tests,3mo platform access,Nothing - free only,Yes up to Rs199,YouTube,Neutral,0,1,2500000.0,4,3.0
R0006,Pragmatic Follower,15-17,Female,Rajasthan,Tier-3 city,Above Rs20L,Class 12,Commerce with Maths,State Board,Above 90%,Very confused,Dont know exams needed,Private counsellor (paid),4 - Satisfied,1-2 years,Business Finance Economics|Technology Computers AI,Business Finance Entrepreneurship|Medicine and Healthcare|Sports Fitness Wellness,Gamified learning|Live classes|Reading articles/books,Analytical logical thinking|Creative thinking design,Myself - independent|Parents / guardians,Joint decision,Personal passion|Social status / prestige|Work-life balance,Study materials / books,Google / web search|I dont search - feel lost|Teachers / school,Open text response,3,3,5,2,3,Peer community forums|Personalised roadmap,1-on-1 professional session,Rs100-299/mo,No - would not pay,YouTube,Definitely would NOT use,200,4,2500000.0,5,3.2
R0007,Curious Explorer,15-17,Male,Gujarat,Tier-2 city,Rs5-10L,Class 10,Not decided,CBSE,70-80%,Just exploring,Dont know my strengths|Unaware of emerging careers,School counsellor (free),1 - Very dissatisfied,3-6 months,Law Social Sciences|Literature Languages|Technology Computers AI,Medicine and Healthcare|Sports Fitness Wellness|Technology and Engineering,Hands-on projects|Live classes|Reading articles/books,Communication public speaking|Leadership teamwork|Not sure yet,Friends / peers|Parents / guardians,Joint decision,Help society|Personal passion|Social status / prestige,Test prep apps / subscriptions,Parents / family|YouTube,Open text response,1,4,1,5,3,1-on-1 mentorship|AI chatbot 24/7|Psychometric tests,1-on-1 professional session,Nothing - free only,Yes up to Rs499,I dont use anything,Definitely would use,0,2,750000.0,3,2.8
R0008,Curious Explorer,18-20,Male,Gujarat,Tier-3 city,Rs2-5L,Class 9 or below,Arts / Humanities,Other,60-70%,Mostly clear,Unaware of emerging careers,Family/friends only,4 - Satisfied,More than 2 years,Business Finance Economics|Literature Languages|Medicine Healthcare,Emerging fields|Law and Civil Services,Gamified learning|Hands-on projects,Analytical logical thinking|Leadership teamwork,Friends / peers,I decide and pay myself,High earning potential|Job security and stability|Scope for growth,Nothing - never paid,Google / web search|Social media,Open text response,3,4,2,5,2,Peer community forums|Psychometric tests,3mo platform access,Rs100-299/mo,Yes up to Rs199,School teacher/counsellor,Definitely would NOT use,200,5,350000.0,2,3.2
R0009,Confused Drifter,15-17,Male,Rajasthan,Tier-2 city,Rs5-10L,Class 9 or below,Commerce with Maths,State Board,,Very confused,Financial constraints|Unaware of emerging careers,Family/friends only,3 - Neutral,1-2 years,Science Physics Chemistry Biology,Defence and Public Service|Sports Fitness Wellness,Live classes,Empathy interpersonal skills,Online influencers / social media|Teachers / counsellors,I decide - parents pay,Help society|Personal passion|Work-life balance,Online courses / certifications,Parents / family,Open text response,4,2,4,1,3,1-on-1 mentorship|Psychometric tests|Scholarship finder,1-on-1 professional session,Rs100-299/mo,Yes up to Rs999,Family / relatives,Definitely would use,200,4,750000.0,5,2.8
R0010,Anxious Achiever,24 or above,Female,Rajasthan,Tier-2 city,Rs2-5L,UG 1st year,Science PCB,CBSE,80-90%,Just exploring,Family pressure|Too many options,Never received guidance,5 - Very satisfied,3-6 months,Business Finance Economics|Science Physics Chemistry Biology,Medicine and Healthcare,Gamified learning,Creative thinking design,Extended family|Online influencers / social media,I decide - parents pay,Job security and stability|Location flexibility,Nothing - never paid|Study materials / books,Google / web search|Social media,Open text response,5,2,4,2,4,College and exam recommender|Salary and job demand dashboard,Detailed career report,Up to Rs99/mo,Yes up to Rs499,Family / relatives,Definitely would NOT use,70,2,350000.0,3,3.4
R0011,Anxious Achiever,15-17,Male,Tamil Nadu,Tier-2 city,Rs5-10L,UG 1st year,Not decided,CBSE,80-90%,Completely clear,Unaware of emerging careers,School counsellor (free),3 - Neutral,6-12 months,Design Art Media|Mathematics Statistics|Medicine Healthcare,Creative Arts Media Design,Live classes|Peer discussions|Watching videos,Empathy interpersonal skills|Leadership teamwork|Research writing,No one - still figuring out|Parents / guardians,I decide and pay myself,High earning potential|Job security and stability|Work-life balance,Online courses / certifications,Coaching institutes|Teachers / school,Open text response,5,3,4,2,3,1-on-1 mentorship|Peer community forums,3mo platform access,Rs100-299/mo,Yes up to Rs499,Google / web search,Definitely would use,200,3,750000.0,1,3.4
R0012,Pragmatic Follower,18-20,Male,Bihar,Tier-2 city,Above Rs20L,UG 1st year,Commerce with Maths,State Board,70-80%,Somewhat confused,No access to mentors,Never received guidance,5 - Very satisfied,More than 2 years,Business Finance Economics|Government Policy|Technology Computers AI,Business Finance Entrepreneurship|Education and Research,Reading articles/books,Leadership teamwork,Friends / peers|Online influencers / social media,Parents decide and pay,Job security and stability|Scope for growth,Study materials / books,Career apps / websites|Coaching institutes|Parents / family,Open text response,4,3,4,2,3,College and exam recommender|Psychometric tests|Scholarship finder,3mo platform access,Rs500-999/mo,Yes up to Rs199,Family / relatives,Definitely would use,750,5,2500000.0,4,3.2
R0013,Focused Climber,18-20,Female,West Bengal,Metro city,Rs5-10L,UG 1st year,Arts / Humanities,State Board,60-70%,Mostly clear,Dont know exams needed|Unaware of emerging careers,Private counsellor (paid),4 - Satisfied,6-12 months,Business Finance Economics|Literature Languages,Creative Arts Media Design|Medicine and Healthcare|Sports Fitness Wellness,Peer discussions,Empathy interpersonal skills,Friends / peers,Joint decision,Location flexibility|Scope for growth,Private career counsellor session,Teachers / school,Open text response,3,4,4,4,4,AI chatbot 24/7|College and exam recommender|Peer community forums,1-on-1 professional session,Nothing - free only,Yes above Rs999,YouTube,Definitely would use,0,3,750000.0,2,3.8
R0014,Curious Explorer,Under 15,Female,Maharashtra,Tier-2 city,Prefer not to say,Class 9 or below,Arts / Humanities,ICSE / ISC,80-90%,Somewhat confused,Too many options,Never received guidance,4 - Satisfied,3-6 months,Government Policy|Mathematics Statistics,Creative Arts Media Design|Law and Civil Services,Hands-on projects,Leadership teamwork,Online influencers / social media|Parents / guardians,Joint decision,Scope for growth,Nothing - never paid,YouTube,Open text response,2,4,3,3,2,Peer community forums,Exam study plan,Rs300-499/mo,Yes up to Rs499,School teacher/counsellor,Neutral,400,2,,4,2.8
